Feature,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Total SHAP,Week,Ranking,C1 Ranking,C5 Ranking,Index Name,week_number,w_month_year
Stringency Index,0.0144175463924051,0.0095312546058079,0.0112283823602006,0.0080159275979255,0.0098159074758109,0.0530090184321501,15,12,10,12,F21,15,"W-15
Apr 2021"
Stringency Index,0.0216374205958429,0.0085546635952005,0.011136903399109,0.0089700650290793,0.0097529316827388,0.0600519843019707,16,8,5,12,F21,16,"W-16
Apr 2021"
Stringency Index,0.0289961859730978,0.0081140326694216,0.010153816360201,0.0111323546111518,0.0162029628677673,0.0745993524816397,17,8,4,6,F21,17,"W-17
Apr 2021"
Stringency Index,0.0422390919220601,0.0102444996272762,0.013401341052583,0.0153787167611711,0.0175332038826812,0.0987968532457718,18,7,2,5,F21,18,"W-18
May 2021"
Stringency Index,0.0162405583238505,0.0053049175895044,0.0075070729369618,0.0083283535290335,0.0113911408163526,0.048772043195703,19,12,8,10,F21,19,"W-19
May 2021"
Stringency Index,0.006660894355587,0.0062631832240498,0.0064734316047039,0.007899187917987,0.0068034099127592,0.0341001070150872,20,12,11,14,F21,20,"W-20
May 2021"
Stringency Index,0.00461404759111,0.0096790841734659,0.0084897839994454,0.0083588607562738,0.0106440646279744,0.0417858411482698,21,12,12,9,F21,21,"W-21
May 2021"
Stringency Index,0.0037970366416619,0.0068012491296481,0.0064488179752804,0.0061857618403053,0.0055110261511629,0.0287438917380588,22,16,20,19,F21,22,"W-22
May 2021"
Stringency Index,0.0060336505925685,0.0087575881867337,0.0134555383117301,0.0085174858828483,0.0105411896928228,0.0473054526667037,23,10,16,10,F21,23,"W-23
Jun 2021"
Stringency Index,0.0050284850106517,0.0068068382312124,0.0075625835078565,0.0073936094402461,0.0053475086349836,0.0321390248249504,24,14,15,19,F21,24,"W-24
Jun 2021"
